"Genotype","Area","Stimulant_1","Stimulant_2"
"Mstn+/-",1646.600854,"RANKL","Myostatin"
"Mstn+/-",4180.975173,"RANKL","Myostatin"
"Mstn+/-",3115.810746,"RANKL","Myostatin"
"Mstn+/-",2047.894044,"RANKL","Myostatin"
"Mstn+/-",2864.506394,"RANKL","Myostatin"
"Mstn+/-",3394.323757,"RANKL","Myostatin"
"Mstn+/-",1329.750156,"RANKL","Myostatin"
"Mstn+/-",12063.96163,"RANKL","Myostatin"
"Mstn+/-",1494.292163,"RANKL","Myostatin"
"Mstn+/-",1079.713793,"RANKL","Myostatin"
"Mstn+/-",2566.91679,"RANKL","Myostatin"
"Mstn+/-",1266.435273,"RANKL","Myostatin"
"Mstn+/-",1086.882135,"RANKL","Myostatin"
"Mstn+/-",2329.049388,"RANKL","Myostatin"
"Mstn+/-",1480.100604,"RANKL","Myostatin"
"Mstn+/-",2730.492545,"RANKL","Myostatin"
"Mstn+/-",3493.759859,"RANKL","Myostatin"
"Mstn+/-",1752.346601,"RANKL","Myostatin"
"Mstn+/-",2077.987905,"RANKL","Myostatin"
"Mstn+/-",10561.74513,"RANKL","Myostatin"
"Mstn+/-",4837.623262,"RANKL","Myostatin"
"Mstn+/-",5403.232082,"RANKL","Myostatin"
"Mstn+/-",1046.05032,"RANKL","Myostatin"
"Mstn+/-",1524.561122,"RANKL","Myostatin"
"Mstn+/-",3219.046668,"RANKL","Myostatin"
"Mstn+/-",3638.737849,"RANKL","Myostatin"
"Mstn+/-",1102.7496,"RANKL","Myostatin"
"Mstn+/-",2214.824267,"RANKL","Myostatin"
"Mstn+/-",1270.978032,"RANKL","Myostatin"
"Mstn+/-",719.1004942,"RANKL","Myostatin"
"Mstn+/-",5111.039037,"RANKL","Myostatin"
"Mstn+/-",7246.828003,"RANKL","Myostatin"
"Mstn+/-",666.8503838,"RANKL","Myostatin"
"Mstn+/-",32687.1666,"RANKL","Myostatin"
"Mstn+/-",59697.60358,"RANKL","Myostatin"
"Mstn+/-",4874.289281,"RANKL","Myostatin"
"Mstn+/-",51238.15815,"RANKL","Myostatin"
"Mstn+/-",2240.666141,"RANKL","Myostatin"
"Mstn+/-",3776.125284,"RANKL","Myostatin"
"Mstn+/-",1260.812616,"RANKL","Myostatin"
"Mstn+/-",1711.850204,"RANKL","Myostatin"
"Mstn+/-",1116.526956,"RANKL","Myostatin"
"Mstn+/-",376.904137,"RANKL","Myostatin"
"Mstn+/-",6454.613911,"RANKL","Myostatin"
"Mstn+/-",2545.479195,"RANKL","Myostatin"
"Mstn+/-",21133.83848,"RANKL","Myostatin"
"Mstn+/-",1862.590871,"RANKL","Myostatin"
"Mstn+/-",3191.651976,"RANKL","Myostatin"
"Mstn+/-",2254.357132,"RANKL","Myostatin"
"Mstn+/-",3490.833275,"RANKL","Myostatin"
"Mstn+/-",3484.212933,"RANKL","Myostatin"
"Mstn+/-",9226.100347,"RANKL","Myostatin"
"Mstn+/-",1525.896571,"RANKL","Myostatin"
"Mstn+/-",16170.79574,"RANKL","Myostatin"
"Mstn+/-",2177.719584,"RANKL","Myostatin"
"Mstn+/-",5261.003694,"RANKL","Myostatin"
"Mstn+/-",12833.0413,"RANKL","Myostatin"
"Mstn+/-",11676.51293,"RANKL","Myostatin"
"Mstn+/-",3389.554114,"RANKL","Myostatin"
"Mstn+/-",5214.371722,"RANKL","Myostatin"
"Mstn+/-",2259.292582,"RANKL","Myostatin"
"Mstn+/-",3214.964524,"RANKL","Myostatin"
"Mstn+/-",1513.222329,"RANKL","Myostatin"
"Mstn+/-",2321.492469,"RANKL","Myostatin"
"Mstn+/-",3183.197534,"RANKL","Myostatin"
"Mstn+/-",2962.583313,"RANKL","Myostatin"
"Mstn+/-",1425.893057,"RANKL","Myostatin"
"Mstn+/-",5942.959649,"RANKL","Myostatin"
"Mstn+/-",2179.437272,"RANKL","Myostatin"
"Mstn+/-",4693.710901,"RANKL","Myostatin"
"Mstn+/-",6510.60652,"RANKL","Myostatin"
"Mstn+/-",2670.288605,"RANKL","Myostatin"
"Mstn+/-",2580.099798,"RANKL","Myostatin"
"Mstn+/-",4175.361655,"RANKL","Myostatin"
"Mstn+/-",1500.470377,"RANKL","Myostatin"
"Mstn+/-",2775.398643,"RANKL","Myostatin"
"Mstn+/-",1749.338305,"RANKL","Myostatin"
"Mstn+/-",2322.688551,"RANKL","Myostatin"
"Mstn+/-",533.6291694,"RANKL","Myostatin"
"Mstn+/-",906.1791525,"RANKL","Myostatin"
"Mstn+/-",2337.05469,"RANKL","Myostatin"
"Mstn+/-",3674.708717,"RANKL","Myostatin"
"Mstn+/-",3383.504886,"RANKL","Myostatin"
"Mstn+/-",1518.095119,"RANKL","Myostatin"
"Mstn+/-",1553.404532,"RANKL","Myostatin"
"Mstn+/-",2797.279574,"RANKL","Myostatin"
"Mstn+/-",2770.789532,"RANKL","Myostatin"
"Mstn+/-",1982.997508,"RANKL","Myostatin"
"Mstn+/-",5282.737831,"RANKL","Myostatin"
"Mstn+/-",3609.120816,"RANKL","Myostatin"
"Mstn+/-",4197.678037,"RANKL","Myostatin"
"Mstn+/-",3601.90492,"RANKL","Myostatin"
"Mstn+/-",7701.027293,"RANKL","Myostatin"
"Mstn+/-",2427.18714,"RANKL","Myostatin"
"Mstn+/-",987.7313796,"RANKL","Myostatin"
"Mstn+/-",1245.684942,"RANKL","Myostatin"
"Mstn+/-",1182.785531,"RANKL","Myostatin"
"Mstn+/-",1692.374829,"RANKL","Myostatin"
"Mstn+/-",4381.786052,"RANKL","Myostatin"
"Mstn+/-",4595.003871,"RANKL","Myostatin"
"Mstn+/-",18616.08967,"RANKL","Myostatin"
"Mstn+/-",2537.054847,"RANKL","Myostatin"
"Mstn+/-",5282.91703,"RANKL","Myostatin"
"Mstn+/-",45702.68197,"RANKL","Myostatin"
"Mstn+/-",20173.34696,"RANKL","Myostatin"
"Mstn+/-",16860.23777,"RANKL","Myostatin"
"Mstn+/-",22321.76615,"RANKL","Myostatin"
"Mstn+/-",10325.70777,"RANKL","Myostatin"
"Mstn+/-",1623.578706,"RANKL","Myostatin"
"Mstn+/-",2439.891898,"RANKL","Myostatin"
"Mstn+/-",2354.336358,"RANKL","Myostatin"
"Mstn+/-",2213.912002,"RANKL","Myostatin"
"Mstn+/-",5637.645306,"RANKL","Myostatin"
"Mstn+/-",2964.145372,"RANKL","Myostatin"
"Mstn+/-",31976.40381,"RANKL","Myostatin"
"Mstn+/-",3535.793683,"RANKL","Myostatin"
"Mstn+/-",2212.047918,"RANKL","Myostatin"
"Mstn+/-",2138.146647,"RANKL","Myostatin"
"Mstn+/-",6116.369063,"RANKL","Myostatin"
"Mstn+/-",3193.114351,"RANKL","Myostatin"
"Mstn+/-",35817.79195,"RANKL","Myostatin"
"Mstn+/-",3061.271148,"RANKL","Myostatin"
"Mstn+/-",2352.577147,"RANKL","Myostatin"
"Mstn+/-",3441.064773,"RANKL","Myostatin"
"Mstn+/-",4832.606749,"RANKL","Myostatin"
"Mstn+/-",6666.469755,"RANKL","Myostatin"
"Mstn+/-",5911.169316,"RANKL","Myostatin"
"Mstn+/-",3060.506951,"RANKL","Myostatin"
"Mstn+/-",13660.47121,"RANKL","Myostatin"
"Mstn+/-",4587.836489,"RANKL","Myostatin"
"Mstn+/-",3385.099042,"RANKL","Myostatin"
"Mstn+/-",5184.175584,"RANKL","Myostatin"
"Mstn+/-",2271.520452,"RANKL","Myostatin"
"Mstn+/-",8325.740009,"RANKL","Myostatin"
"Mstn+/-",2620.709316,"RANKL","Myostatin"
"Mstn+/-",9680.651265,"RANKL","Myostatin"
"Mstn+/-",2886.869158,"RANKL","Myostatin"
"Mstn+/-",2623.415282,"RANKL","Myostatin"
"Mstn+/-",2908.175271,"RANKL","Myostatin"
"Mstn+/-",1767.264042,"RANKL","Myostatin"
"Mstn+/-",1909.953242,"RANKL","Myostatin"
"Mstn+/-",1390.12786,"RANKL","Myostatin"
"Mstn+/-",1581.762009,"RANKL","Myostatin"
"Mstn+/-",2234.387072,"RANKL","Myostatin"
"Mstn+/-",1267.804789,"RANKL","Myostatin"
"Mstn+/-",914.0449019,"RANKL","Myostatin"
"Mstn+/-",1177.008637,"RANKL","Myostatin"
"Mstn+/-",2997.690055,"RANKL","Myostatin"
"Mstn+/-",11574.412,"RANKL","Myostatin"
"Mstn+/-",1928.524962,"RANKL","Myostatin"
"Mstn+/-",2890.585501,"RANKL","Myostatin"
"Mstn+/-",4300.739127,"RANKL","Myostatin"
"Mstn+/-",2838.609586,"RANKL","Myostatin"
"Mstn+/-",4512.025075,"RANKL","Myostatin"
"Mstn+/-",10032.39504,"RANKL","Myostatin"
"Mstn+/-",3918.683445,"RANKL","Myostatin"
"Mstn+/-",4380.405155,"RANKL","Myostatin"
"Mstn+/-",5415.158448,"RANKL","Myostatin"
"Mstn+/-",3845.087236,"RANKL","Myostatin"
"Mstn+/-",2037.477818,"RANKL","Myostatin"
"Mstn+/-",4393.388258,"RANKL","Myostatin"
"Mstn+/-",9448.14538,"RANKL","Myostatin"
"Mstn+/-",6741.839413,"RANKL","Myostatin"
"Mstn+/-",3439.652551,"RANKL","Myostatin"
"Mstn+/-",7228.369917,"RANKL","Myostatin"
"Mstn+/-",7721.257891,"RANKL","Myostatin"
"Mstn+/-",3441.464975,"RANKL","Myostatin"
"Mstn+/-",2132.172893,"RANKL","Myostatin"
"Mstn+/-",4220.408734,"RANKL","Myostatin"
"Mstn+/-",1355.57451,"RANKL","Myostatin"
"Mstn+/-",3058.347375,"RANKL","Myostatin"
"Mstn+/-",4886.475355,"RANKL","Myostatin"
"Mstn+/-",6214.244571,"RANKL","Myostatin"
"Mstn+/-",3052.682151,"RANKL","Myostatin"
"Mstn+/-",1573.161505,"RANKL","Myostatin"
"Mstn+/-",4026.210651,"RANKL","Myostatin"
"Mstn+/-",1471.656138,"RANKL","Myostatin"
"Mstn+/-",1563.62016,"RANKL","Myostatin"
"Mstn+/-",3586.574809,"RANKL","Myostatin"
"Mstn+/-",1558.642016,"RANKL","Myostatin"
"Mstn+/-",3981.951476,"RANKL","Myostatin"
"Mstn+/-",1493.37473,"RANKL","Myostatin"
"Mstn+/-",2468.167554,"RANKL","Myostatin"
"Mstn+/-",2555.12921,"RANKL","Myostatin"
"Mstn+/-",20072.52538,"RANKL","Myostatin"
"Mstn+/-",17657.74775,"RANKL","Myostatin"
"Mstn+/-",2187.56504,"RANKL","Myostatin"
"Mstn+/-",3528.575219,"RANKL","Myostatin"
"Mstn+/-",5362.591459,"RANKL","Myostatin"
"Mstn+/-",3045.996977,"RANKL","Myostatin"
"Mstn+/-",2390.410131,"RANKL","Myostatin"
"Mstn+/-",3233.663816,"RANKL","Myostatin"
"Mstn+/-",2020.458066,"RANKL","Myostatin"
"Mstn+/-",2250.339809,"RANKL","Myostatin"
"Mstn+/-",3677.409928,"RANKL","Myostatin"
"Mstn+/-",13014.41278,"RANKL","Myostatin"
"Mstn+/-",3560.428247,"RANKL","Myostatin"
"Mstn+/-",1797.234341,"RANKL","Myostatin"
"Mstn+/-",1732.75895,"RANKL","Myostatin"
"Mstn+/-",5256.687073,"RANKL","Myostatin"
"Mstn+/-",6075.438148,"RANKL","Myostatin"
"Mstn+/-",5698.720594,"RANKL","Myostatin"
"Mstn+/-",2876.976515,"RANKL","Myostatin"
"Mstn+/-",2299.202144,"RANKL","Myostatin"
"Mstn+/-",2428.980896,"RANKL","Myostatin"
"Mstn+/-",4768.999697,"RANKL","Myostatin"
"Mstn+/-",41194.11562,"RANKL","Myostatin"
"Mstn+/-",29046.65834,"RANKL","Myostatin"
"Mstn+/-",6375.818617,"RANKL","Myostatin"
"Mstn+/-",9273.90794,"RANKL","Myostatin"
"Mstn+/-",3649.34018,"RANKL","Myostatin"
"Mstn+/-",1897.056657,"RANKL","Myostatin"
"Mstn+/-",2266.383105,"RANKL","Myostatin"
"Mstn+/-",2297.282826,"RANKL","Myostatin"
"Mstn+/-",2379.114537,"RANKL","Myostatin"
"Mstn+/-",3219.774843,"RANKL","Myostatin"
"Mstn+/-",1868.099137,"RANKL","Myostatin"
"Mstn+/-",16628.4896,"RANKL","Myostatin"
"Mstn+/-",1527.416883,"RANKL","Myostatin"
"Mstn+/-",3635.34975,"RANKL","Myostatin"
"Mstn+/-",45988.53592,"RANKL","Myostatin"
"Mstn+/-",25634.20206,"RANKL","Myostatin"
"Mstn+/-",73859.47101,"RANKL","Myostatin"
"Mstn+/-",13553.98376,"RANKL","Myostatin"
"Mstn+/-",10107.52529,"RANKL","Myostatin"
"Mstn+/-",2043.979764,"RANKL","Myostatin"
"Mstn+/-",2394.125584,"RANKL","Myostatin"
"Mstn+/-",1954.965329,"RANKL","Myostatin"
"Mstn+/-",1621.614755,"RANKL","Myostatin"
"Mstn+/-",2491.330628,"RANKL","Myostatin"
"Mstn+/-",3261.636321,"RANKL","Myostatin"
"Mstn+/-",2175.640429,"RANKL","Myostatin"
"Mstn+/-",7185.180563,"RANKL","Myostatin"
"Mstn+/-",2018.705351,"RANKL","Myostatin"
"Mstn+/-",3459.960022,"RANKL","Myostatin"
"Mstn+/-",4691.345219,"RANKL","Myostatin"
"Mstn+/-",2002.911627,"RANKL","Myostatin"
"Mstn+/-",1326.126391,"RANKL","Myostatin"
"Mstn+/-",2922.523506,"RANKL","Myostatin"
"Mstn+/-",713.9486097,"RANKL","Myostatin"
"Mstn+/-",4761.640433,"RANKL","Myostatin"
"Mstn+/-",3303.680397,"RANKL","Myostatin"
"Mstn+/-",2485.235365,"RANKL","Myostatin"
"Mstn+/-",2230.265501,"RANKL","Myostatin"
"Mstn+/-",2865.477212,"RANKL","Myostatin"
"Mstn+/-",1050.63118,"RANKL","Myostatin"
"Mstn+/-",3688.58631,"RANKL","Myostatin"
"Mstn+/-",907.2625203,"RANKL","Myostatin"
"Mstn+/-",2925.465167,"RANKL","Myostatin"
"Mstn+/-",2956.237787,"RANKL","Myostatin"
"Mstn+/-",1528.289201,"RANKL","Myostatin"
"Mstn+/-",1638.017932,"RANKL","Myostatin"
"Mstn+/-",2981.174532,"RANKL","Myostatin"
"Mstn+/-",2280.18032,"RANKL","Myostatin"
"Mstn+/-",1519.846033,"RANKL","Myostatin"
"Mstn+/-",1654.986482,"RANKL","Myostatin"
"Mstn+/-",1179.938324,"RANKL","Myostatin"
"Mstn+/-",1154.963865,"RANKL","Myostatin"
"Mstn+/-",16287.22205,"RANKL","Myostatin"
"Mstn+/-",9351.094007,"RANKL","Myostatin"
"Mstn+/-",5683.304014,"RANKL","Myostatin"
"Mstn+/-",8020.344949,"RANKL","Myostatin"
"Mstn+/-",24132.4353,"RANKL","Myostatin"
"Mstn+/-",17936.06449,"RANKL","Myostatin"
"Mstn+/-",19413.48648,"RANKL","Myostatin"
"Mstn+/-",44651.7586,"RANKL","Myostatin"
"Mstn+/-",1060.466589,"RANKL","Myostatin"
"Mstn+/-",2565.031519,"RANKL","Myostatin"
"Mstn+/-",3471.860038,"RANKL","Myostatin"
"Mstn+/-",3396.702155,"RANKL","Myostatin"
"Mstn+/-",2810.172688,"RANKL","Myostatin"
"Mstn+/-",1871.992522,"RANKL","Myostatin"
"Mstn+/-",2231.721201,"RANKL","Myostatin"
"Mstn+/-",10298.63818,"RANKL","Myostatin"
"Mstn+/-",21907.94156,"RANKL","Myostatin"
"Mstn+/-",5009.432748,"RANKL","Myostatin"
"Mstn+/-",2023.60739,"RANKL","Myostatin"
"Mstn+/-",2293.252327,"RANKL","Myostatin"
"Mstn+/-",7413.202051,"RANKL","Myostatin"
"Mstn+/-",17744.16365,"RANKL","Myostatin"
"Mstn+/-",2497.490446,"RANKL","Myostatin"
"Mstn+/-",5393.775374,"RANKL","Myostatin"
"Mstn+/-",4653.428838,"RANKL","Myostatin"
"Mstn+/-",5026.713151,"RANKL","Myostatin"
"Mstn+/-",3226.41659,"RANKL","Myostatin"
"Mstn+/-",2593.605589,"RANKL","Myostatin"
"Mstn+/-",3245.827907,"RANKL","Myostatin"
"Mstn+/-",1622.007895,"RANKL","Myostatin"
"Mstn+/-",1516.577144,"RANKL","Myostatin"
"Mstn+/-",2406.700224,"RANKL","Myostatin"
"Mstn+/-",3860.531218,"RANKL","Myostatin"
"Mstn+/-",7282.385495,"RANKL","Myostatin"
"Mstn+/-",26706.66068,"RANKL","Myostatin"
"Mstn+/-",18517.07396,"RANKL","Myostatin"
"Mstn+/-",17173.02182,"RANKL","Myostatin"
"Mstn+/-",2817.791756,"RANKL","Myostatin"
"Mstn+/-",2633.448922,"RANKL","Myostatin"
"Mstn+/-",1639.879451,"RANKL","Myostatin"
"Mstn+/-",1743.961618,"RANKL","Myostatin"
"Mstn+/-",9479.792967,"RANKL","Myostatin"
"Mstn+/-",4595.508085,"RANKL","Myostatin"
"Mstn+/-",23582.29188,"RANKL","Myostatin"
"Mstn+/-",20945.99596,"RANKL","Myostatin"
"Mstn+/-",2136.823396,"RANKL","Myostatin"
"Mstn+/-",9906.789757,"RANKL","Myostatin"
"Mstn+/-",12814.20428,"RANKL","Myostatin"
"Mstn+/-",3773.4483,"RANKL","Myostatin"
"Mstn+/-",6960.533344,"RANKL","Myostatin"
"Mstn+/-",8344.824772,"RANKL","Myostatin"
"Mstn+/-",4784.481645,"RANKL","Myostatin"
"Mstn+/-",6628.143569,"RANKL","Myostatin"
"Mstn+/-",6465.506495,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",496.4465054,"RANKL","None"
"hTNFtg, Mstn-/-",793.9015227,"RANKL","None"
"hTNFtg, Mstn-/-",783.1060802,"RANKL","None"
"hTNFtg, Mstn-/-",639.8021088,"RANKL","None"
"hTNFtg, Mstn-/-",699.9184058,"RANKL","None"
"hTNFtg, Mstn-/-",703.4969485,"RANKL","None"
"hTNFtg, Mstn-/-",790.8786964,"RANKL","None"
"hTNFtg, Mstn-/-",1206.5635,"RANKL","None"
"hTNFtg, Mstn-/-",752.1902762,"RANKL","None"
"hTNFtg, Mstn-/-",981.8999373,"RANKL","None"
"hTNFtg, Mstn-/-",679.1142032,"RANKL","None"
"hTNFtg, Mstn-/-",826.5366125,"RANKL","None"
"hTNFtg, Mstn-/-",419.4521904,"RANKL","None"
"hTNFtg, Mstn-/-",1155.525984,"RANKL","None"
"hTNFtg, Mstn-/-",932.0292018,"RANKL","None"
"hTNFtg, Mstn-/-",847.5540685,"RANKL","None"
"hTNFtg, Mstn-/-",1067.404524,"RANKL","None"
"hTNFtg, Mstn-/-",959.949958,"RANKL","None"
"hTNFtg, Mstn-/-",2226.783281,"RANKL","None"
"hTNFtg, Mstn-/-",721.5980205,"RANKL","None"
"hTNFtg, Mstn-/-",1232.712669,"RANKL","None"
"hTNFtg, Mstn-/-",727.6733661,"RANKL","None"
"hTNFtg, Mstn-/-",947.8452156,"RANKL","None"
"hTNFtg, Mstn-/-",908.7784842,"RANKL","None"
"hTNFtg, Mstn-/-",991.8744518,"RANKL","None"
"hTNFtg, Mstn-/-",1456.129034,"RANKL","None"
"hTNFtg, Mstn-/-",1008.458222,"RANKL","None"
"hTNFtg, Mstn-/-",746.6871454,"RANKL","None"
"hTNFtg, Mstn-/-",906.7707228,"RANKL","None"
"hTNFtg, Mstn-/-",1103.927076,"RANKL","None"
"hTNFtg, Mstn-/-",917.6580943,"RANKL","None"
"hTNFtg, Mstn-/-",1744.274651,"RANKL","None"
"hTNFtg, Mstn-/-",1184.22611,"RANKL","None"
"hTNFtg, Mstn-/-",1874.621452,"RANKL","None"
"hTNFtg, Mstn-/-",910.8623696,"RANKL","None"
"hTNFtg, Mstn-/-",1209.055732,"RANKL","None"
"hTNFtg, Mstn-/-",2263.55373,"RANKL","None"
"hTNFtg, Mstn-/-",897.154832,"RANKL","None"
"hTNFtg, Mstn-/-",683.5690039,"RANKL","None"
"hTNFtg, Mstn-/-",1112.151288,"RANKL","None"
"hTNFtg, Mstn-/-",1148.598623,"RANKL","None"
"hTNFtg, Mstn-/-",1361.305997,"RANKL","None"
"hTNFtg, Mstn-/-",1656.61193,"RANKL","None"
"hTNFtg, Mstn-/-",1200.986406,"RANKL","None"
"hTNFtg, Mstn-/-",1901.586458,"RANKL","None"
"hTNFtg, Mstn-/-",834.6528575,"RANKL","None"
"hTNFtg, Mstn-/-",1036.806191,"RANKL","None"
"hTNFtg, Mstn-/-",690.9470931,"RANKL","None"
"hTNFtg, Mstn-/-",2311.288234,"RANKL","None"
"hTNFtg, Mstn-/-",1894.742054,"RANKL","None"
"hTNFtg, Mstn-/-",1496.499287,"RANKL","None"
"hTNFtg, Mstn-/-",1087.584227,"RANKL","None"
"hTNFtg, Mstn-/-",1822.817063,"RANKL","None"
"hTNFtg, Mstn-/-",1728.780636,"RANKL","None"
"hTNFtg, Mstn-/-",840.7066742,"RANKL","None"
"hTNFtg, Mstn-/-",2017.819113,"RANKL","None"
"hTNFtg, Mstn-/-",1366.511745,"RANKL","None"
"hTNFtg, Mstn-/-",1742.048028,"RANKL","None"
"hTNFtg, Mstn-/-",1335.272654,"RANKL","None"
"hTNFtg, Mstn-/-",1436.629718,"RANKL","None"
"hTNFtg, Mstn-/-",2432.112009,"RANKL","None"
"hTNFtg, Mstn-/-",1650.02984,"RANKL","None"
"hTNFtg, Mstn-/-",1843.094303,"RANKL","None"
"hTNFtg, Mstn-/-",1360.752758,"RANKL","None"
"hTNFtg, Mstn-/-",3308.869497,"RANKL","None"
"hTNFtg, Mstn-/-",2385.182521,"RANKL","None"
"hTNFtg, Mstn-/-",1535.127151,"RANKL","None"
"hTNFtg, Mstn-/-",1395.601474,"RANKL","None"
"hTNFtg, Mstn-/-",1280.63585,"RANKL","None"
"hTNFtg, Mstn-/-",1005.160337,"RANKL","None"
"hTNFtg, Mstn-/-",3985.709462,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2638.533086,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3963.06915,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2220.662121,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2771.697976,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",4050.761842,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2696.199936,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3143.812506,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",12436.24262,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3528.036707,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",7750.695575,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2228.827798,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1527.24392,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2279.216611,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2163.477854,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1388.517316,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",7355.583792,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1930.988407,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1882.683468,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2574.711843,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1741.409458,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",8477.355714,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2050.058541,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3548.269727,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2057.671575,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2323.628944,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2490.193464,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1191.221456,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2690.610138,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2096.397153,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2292.267595,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",4100.586801,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1122.878115,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2033.735491,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2273.734619,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3415.054081,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3993.709251,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2577.358309,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1816.06352,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2941.239217,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1889.234678,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2719.37827,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2478.429211,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3803.237324,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",5463.507239,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3350.510539,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",5612.403061,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2521.783235,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",4656.009416,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",6689.271739,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3004.664666,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",4033.424407,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2061.314506,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",3568.245444,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2164.167205,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2627.060562,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2011.219374,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2253.39682,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",2257.390027,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",4128.440948,"RANKL","Myostatin"
"hTNFtg, Mstn-/-",1010.025796,"RANKL","TNFa"
"hTNFtg, Mstn-/-",2413.379041,"RANKL","TNFa"
"hTNFtg, Mstn-/-",668.1308231,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1363.350742,"RANKL","TNFa"
"hTNFtg, Mstn-/-",734.353883,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1378.822703,"RANKL","TNFa"
"hTNFtg, Mstn-/-",2966.096263,"RANKL","TNFa"
"hTNFtg, Mstn-/-",2784.015575,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1181.584574,"RANKL","TNFa"
"hTNFtg, Mstn-/-",960.0808466,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1562.893819,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1450.401181,"RANKL","TNFa"
"hTNFtg, Mstn-/-",1112.606343,"TNFa","None"
"hTNFtg, Mstn-/-",2561.680219,"TNFa","None"
"hTNFtg, Mstn-/-",932.0809888,"TNFa","None"
"hTNFtg, Mstn-/-",2654.511499,"TNFa","None"
"hTNFtg, Mstn-/-",1103.00315,"TNFa","None"
"hTNFtg, Mstn-/-",1977.914715,"TNFa","None"
"hTNFtg, Mstn-/-",1113.981913,"RANKL","None"
"hTNFtg, Mstn-/-",1555.352674,"RANKL","None"
"hTNFtg, Mstn-/-",1018.454653,"RANKL","None"
"hTNFtg, Mstn-/-",1533.423322,"RANKL","None"
"hTNFtg, Mstn-/-",1901.8999,"RANKL","None"
"hTNFtg, Mstn-/-",1973.350982,"RANKL","None"
"hTNFtg, Mstn-/-",2073.351583,"RANKL","None"
"hTNFtg, Mstn-/-",1628.934816,"RANKL","None"
"hTNFtg, Mstn-/-",7448.630927,"RANKL","None"
"hTNFtg, Mstn-/-",1154.661449,"RANKL","None"
"hTNFtg, Mstn-/-",1945.770013,"RANKL","None"
"hTNFtg, Mstn-/-",2332.537293,"RANKL","None"
